iso_code,Year,Number of total people affected by drought,Number of total people affected by earthquakes,Number of total people affected by volcanic activity,Number of total people affected by floods,Number of total people affected by storms,Number of total people affected by landslides,Number of total people affected by wildfires,Number of total people affected by extreme temperatures
DJI,2020,64056,0,0,36666668,0,0,0,0
DMA,1950,0,0,0,0,0,0,0,0
DMA,1960,0,0,0,0,0,0,0,0
DMA,1970,0,0,0,0,7210,0,0,0
DMA,1980,0,0,0,0,1071,0,0,0
DMA,1990,0,0,0,0,571.6,0,0,0
DMA,2000,0,10,0,0,753,0,0,0
DMA,2010,0,0,0,0,10022.7,0,0,0
DMA,2020,0,0,0,0,0,0,0,0
DOM,1950,0,0,0,0,0,0,0,0
DOM,1960,24000,0,0,0,1294.2,0,0,0
DOM,1970,0,0,0,100,155400,0,0,0
DOM,1980,0,0,0,134204.5,200,0,0,0
DOM,1990,0,0,0,2100,100342.5,0,0,0
DOM,2000,0,201.5,0,11306,18519.4,0,0,0
DOM,2010,0,0,0,288186,15128.3,0,0,0
DOM,2020,0,0,0,70,484858.34,0,0,0
ECU,1950,0,0,0,0,0,0,0,0
ECU,1960,60000,0,0,7050,0,0,0,0
ECU,1970,0,10811.2,2500,18300,0,0.6,0,0
ECU,1980,0,15004.6,0,94000,0,600,80,0
ECU,1990,3400,4014.5,2420,25400.7,0,7506.5,0,0
ECU,2000,10750,0,49768.3,43069.9,0,38.5,0,0
ECU,2010,316.5,38979.3,93254.2,14610.7,0,45075,194.5,0
ECU,2020,0,26143333,50663668,17947666,0,0,0,0
EGY,1950,0,45140,0,0,0,0,0,0
EGY,1960,0,55.1,0,0,0,0,0,0
EGY,1970,0,0,0,6600,1500,0,0,0
EGY,1980,0,0,0,0,44927,0,0,0
EGY,1990,0,9271.8,0,16412.8,6,0,0,0
EGY,2000,0,25,0,87,44961,0,0,45056
EGY,2010,0,0,0,350,3274.7,0,0,45083
EGY,2020,0,0,0,8878333,0,0,0,0
SLV,1950,0,0,0,0,0,0,0,0
SLV,1960,0,13972,0,0,464,0,0,0
SLV,1970,0,0,0,0,0,0,0,0
SLV,1980,0,80250,0,10706,0,0,0,0
SLV,1990,0,0,0,1495,8600,0,0,0
SLV,2000,40000,160777.1,200,733.2,16554.1,0,0,0
SLV,2010,108661,265.9,6307.9,30709.9,3260.4,0,0,0
SLV,2020,0,0,0,100,53071,175,0,0
ERI,1950,0,0,0,0,0,0,0,0
ERI,1960,0,0,0,0,0,0,0,0
ERI,1970,0,0,0,0,0,0,0,0
ERI,1980,0,0,0,0,0,0,0,0
ERI,1990,390000,0,0,0,1567.5,0,0,0
ERI,2000,170000,0,0,701.3,0,0,0,0
ERI,2010,0,0,0,0,0,0,0,0
ERI,2020,0,0,0,0,0,0,0,0
EST,1950,0,0,0,0,0,0,0,0
EST,1960,0,0,0,0,0,0,0,0
EST,1970,0,0,0,0,0,0,0,0
EST,1980,0,0,0,0,0,0,0,0
EST,1990,0,0,0,0,0,0,0,0
EST,2000,0,0,0,0,10,0,0,0
EST,2010,0,0,0,0,0,0,0,0
EST,2020,0,0,0,0,0,0,0,0
SWZ,1950,0,0,0,0,0,0,0,0
SWZ,1960,0,0,0,0,0,0,0,0
SWZ,1970,0,0,0,0,0,0,0,0
SWZ,1980,0,0,0,0,63250,0,0,0
SWZ,1990,25000,0,0,0,0,0,0,0
SWZ,2000,138000,0,0,27450,768.5,0,150,0
SWZ,2010,72400,0,0,40,0,0,0,0
SWZ,2020,0,0,0,0,0,0,0,0
ETH,1950,0,0,0,0,0,0,0,0
ETH,1960,320000,58.5,0,1600,0,0,0,0
ETH,1970,300000,0,0,8700,0,0,0,0
ETH,1980,2125000,0,0,9524,0,0,0,0
ETH,1990,588620,0,0,84896.6,0,45171,0,0
ETH,2000,2780000,0,1100,122189,0,45062,0.5,0
ETH,2010,1600567.9,0,0,107608,0,44928,0,0
ETH,2020,10300000,0,0,498228.34,0,0,0,0
FJI,1950,0,0,0,0,80,0,0,0
FJI,1960,0,0,0,1800,1000,0,0,0
FJI,1970,0,0,0,0,18505,0,0,0
FJI,1980,3100,0,0,21500,37946.5,0,0,0
FJI,1990,26345.5,0,0,0,17327.5,0,0,0
FJI,2000,0,0,0,1228,3908.2,0,0,0
FJI,2010,6700,0,0,1954.5,78003.9,0,0,0
FJI,2020,0,0,0,0,119143336,0,0,0
FIN,1950,0,0,0,0,0,0,0,0
FIN,1960,0,0,0,0,0,0,0,0
FIN,1970,0,0,0,0,0,0,0,0
FIN,1980,0,0,0,0,0,0,0,0
FIN,1990,0,0,0,0,0,0,0,0
FIN,2000,0,0,0,40,0,0,0,0
FIN,2010,0,0,0,0,0,0,0,0
FIN,2020,0,0,0,0,0,0,0,0
FRA,1950,0,0,0,0,0,0,0,0
FRA,1960,0,110,0,0,0,0,0,0
FRA,1970,0,0.2,0,2600,0,45110,0,0
FRA,1980,0,0,0,432.5,0,2,214.8,0
FRA,1990,0,0,0,589.5,350944.1,44954,126.5,1000
FRA,2000,0,0,0,5367.4,515.8,0,300.4,20
FRA,2010,0,75.4,0,1381.2,50225.6,0,1201.2,0
FRA,2020,0,0,0,10176667,24548,0,0,0
GUF,1950,0,0,0,0,0,0,0,0
GUF,1960,0,0,0,0,0,0,0,0
GUF,1970,0,0,0,0,0,0,0,0
GUF,1980,0,0,0,0,0,0,0,0
GUF,1990,0,0,0,7000,0,0,0,0
GUF,2000,0,0,0,0,0,0.5,0,0
GUF,2010,0,0,0,0,0,0,0,0
GUF,2020,0,0,0,46333332,0,0,0,0
PYF,1950,0,0,0,0,0,0,0,0
PYF,1960,0,0,0,0,0,0,0,0
PYF,1970,0,0,0,0,0,0,0,0
PYF,1980,0,0,0,0,505,0,0,0
PYF,1990,0,0,0,0,0,51.1,0,0
PYF,2000,0,0,0,0,0,0,0,0
PYF,2010,0,0,0,500.4,341.1,0,0,0
PYF,2020,0,0,0,0,0,0,0,0
GAB,1950,0,0,0,0,0,0,0,0
GAB,1960,0,0,0,0,0,0,0,0
GAB,1970,0,0,0,0,0,0,0,0
GAB,1980,0,0,0,1000,0,0,0,0
GAB,1990,0,0,0,0,0,0,0,0
GAB,2000,0,0,0,0,80,0,0,0
GAB,2010,0,0,0,7784.5,353,0,0,0
GAB,2020,0,0,0,0,0,0,0,0
GMB,1950,0,0,0,0,0,0,0,0
GMB,1960,33000,0,0,0,0,0,0,0
GMB,1970,0,0,0,0,0,0,500,0
GMB,1980,50000,0,0,0,0,0,0,0
GMB,1990,0,0,0,3600,0,0,0,0
GMB,2000,0,0,0,1520.8,1680.6,0,0,0
GMB,2010,49110,0,0,6226.1,1510.1,0,0,0
GMB,2020,0,0,0,57336665,56496665,0,0,0
GEO,1950,0,0,0,0,0,0,0,0
GEO,1960,0,0,0,0,0,0,0,0
GEO,1970,0,0,0,0,0,0,0,0
GEO,1980,0,0,0,0,0,0,0,0
GEO,1990,0,375,0,80,0,0,0,0
GEO,2000,69600,2646.2,0,319,90,0,0,0
GEO,2010,0,0,0,15531.9,776.8,0,0,0
GEO,2020,0,0,0,40376667,0,0,0,0
DEU,1950,0,0,0,0,0,0,0,0
DEU,1960,0,0,0,0,0,0,0,0
DEU,1970,0,0,0,0,0,0,0,0
DEU,1980,0,0,0,0,0,0,0,0
DEU,1990,0,152.5,0,20520,3001.5,0,0,0
DEU,2000,0,15,0,33155.8,45.1,0,0,45062
DEU,2010,0,0,0,695,45172,0,0,0
DEU,2020,0,0,0,33333334,213,0,0,0
GHA,1950,0,0,0,0,0,0,0,0
GHA,1960,0,0,0,2500,0,0,0,0
GHA,1970,1200,0,0,0,0,0,0,0
GHA,1980,1250000,0,0,280,0,0,150,0
GHA,1990,0,0,0,302460.2,0,0,0,0
GHA,2000,0,0,0,69637,0,0,0,0
GHA,2010,0,0,0,126732,44958,0,0,0
GHA,2020,0,0,0,1842,0,0,0,0
GRC,1950,0,16815.9,0,0,0,0,0,0
GRC,1960,0,8082.7,0,0,0,0,0,0
GRC,1970,0,60010,0,160,0,0,0,0
GRC,1980,0,12667.9,0,0,0,0,20,0
GRC,1990,0,14778.1,0,190,0,0,231.4,0
GRC,2000,0,482.5,0,1218,61.2,0,654.5,45094
GRC,2010,0,7787.6,0,707.4,44997,0,471.8,0
GRC,2020,0,19886666,0,390,0,0,20833334,0
GRD,1950,0,0,0,0,0,0,0,0
GRD,1960,0,0,0,0,0,0,0,0
GRD,1970,0,0,0,0,0,0,0,0
GRD,1980,0,0,0,0,0,0,0,0
GRD,1990,0,0,0,0,121,0,0,0
GRD,2000,0,0,0,0,6007.5,0,0,0
GRD,2010,0,0,0,0,0,0,0,0
GRD,2020,0,0,0,0,0,0,0,0
GLP,1950,0,0,0,0,0,0,0,0
GLP,1960,0,0,0,0,2010,0,0,0
GLP,1970,0,0,7500.3,0,0,0,0,0
GLP,1980,0,0,0,0,1108.4,0,0,0
GLP,1990,0,0,0,0,89.9,0,0,0
GLP,2000,0,45000,0,0,0,0,0,0
GLP,2010,0,0,0,0,8000.2,0,0,0
GLP,2020,0,0,0,0,0,0,0,0
GUM,1950,0,0,0,0,0,0,0,0
GUM,1960,0,0,0,0,0,0,0,0
GUM,1970,0,0,0,0,0,0,0,0
GUM,1980,0,0,0,0,50.2,0,0,0
GUM,1990,0,44933,0,0,1196.2,0,0,0
GUM,2000,0,0,0,0,1544.4,0,0,0
GUM,2010,0,0,0,0,0,0,0,0
GUM,2020,0,0,0,0,0,0,0,0
GTM,1950,0,0,0,0,0,0,0,0
GTM,1960,0,0,0,0,1020,0,0,0
GTM,1970,0,499504,0,100,0,0,0,0
GTM,1980,7300,955,953.5,3277.1,0,0,0,0
GTM,1990,0,2417,634.3,1405.8,10570,0.8,0,0
GTM,2000,261359.6,44972,80,31192.2,48716.5,322.9,0,185
GTM,2010,306648.5,142109.8,172621.4,72273.8,57906.3,5185.4,0,1078.4
GTM,2020,0,10434,0,978230.3,1103794.4,0,0,0
GIN,1950,0,0,0,0,0,0,0,0
GIN,1960,0,0,0,0,0,0,0,0
GIN,1970,0,0,0,0,0,0,0,0
GIN,1980,0,4143.6,0,500,0,0,0,0
GIN,1990,0,0,0,606.6,0,0,0,0
GIN,2000,0,0,0,28608.5,0,0,77.7,0
GIN,2010,0,0,0,11219,0,49.2,0,0
GIN,2020,0,0,0,56913668,0,0,0,0
GNB,1950,0,0,0,0,0,0,0,0
GNB,1960,0,0,0,0,0,0,0,0
GNB,1970,0,0,0,0,0,0,0,0
GNB,1980,0,0,0,0,370.3,0,0,0
GNB,1990,0,0,0,0,172.2,0,150,0
GNB,2000,13200,0,0,175,0,0,0,0
GNB,2010,0,0,0,5679.2,1154.1,0,0,0
GNB,2020,0,0,0,0,0,0,0,0
GUY,1950,0,0,0,0,0,0,0,0
GUY,1960,0,0,0,0,0,0,0,0
GUY,1970,0,0,0,2100,0,0,0,0
GUY,1980,0,0,0,0,0,0,0,0
GUY,1990,60720,0,0,3800,0,0,0,0
GUY,2000,0,0,0,40977.4,0,0,0,0
GUY,2010,0,0,0,20227.4,0,0,0,0
GUY,2020,0,0,0,11666667,0,0,0,0
HTI,1950,0,0,0,0,25000,0,0,0
HTI,1960,21021.7,0,0,0,14788.1,0,0,0
HTI,1970,95700,0,0,4000,111,0,0,0
HTI,1980,10300,0,0,18160.1,203500,106,0,0
HTI,1990,100000,0,0,509,159914.4,0,0,0
HTI,2000,3500,0,0,39474.3,72683.4,0,0,0
HTI,2010,460000,373933.6,0,31053.5,243354.3,0,0,0
HTI,2020,0,234593.33,0,8793333,14726,0,0,0
HND,1950,0,0,0,0,0,0,0,0
HND,1960,10000,0,0,600,800.2,0,0,0
HND,1970,30000,0,0,5500,60750,0,0,0
HND,1980,0,50,0,4612.5,2001.2,0,0,0
HND,1990,0,0,0,74894.8,211202.2,0,0,0
HND,2000,46062.5,5201.9,0,33695.1,20969,0,0,0
HND,2010,105671,0,0,60277.6,2494.6,0,0,0
HND,2020,0,0,0,32052334,1763261.4,0,8343333,0
HKG,1950,0,0,0,0,44937,0,0,0
HKG,1960,0,0,0,2043.6,2176.7,45117,0,0
HKG,1970,0,0,0,2746.3,2424.5,120,0,0
HKG,1980,0,0,0,401.9,624.2,291.5,900,0.7
HKG,1990,0,0,0,564.5,268.9,45052,0,0
HKG,2000,0,0,0,0,409,0,0,0
HKG,2010,0,0,0,0,1545.6,0,0,0
HKG,2020,0,0,0,0,58333332,0,0,0
HUN,1950,0,0,0,0,0,0,0,0
HUN,1960,0,0,0,0,0,0,0,0
HUN,1970,0,0,0,0,0,0,0,0
HUN,1980,0,0,0,0,0,0,0,0
HUN,1990,0,0,0,13369.5,0,0,0,0
HUN,2000,0,0,0,4582.3,30,0,0,50
HUN,2010,0,180,0,5934.7,16529.8,0,0,0
HUN,2020,0,0,0,0,0,0,0,0
ISL,1950,0,0,0,0,0,0,0,0
ISL,1960,0,0,0,0,0,0,0,0
ISL,1970,0,0.6,520,0,0,0,0,0
ISL,1980,0,0,0,28,0,0,0,0
ISL,1990,0,0,0,0,0,44993,0,0
ISL,2000,0,45188,0,0,0,0,0,0
ISL,2010,0,0,0,0,0,0,0,0
ISL,2020,0,0,0,0,0,0,0,0
IND,1950,0,45190,0,13000,239500,0,0,0
IND,1960,10066600,5227.2,0,1133261,548509.2,0,0,0
IND,1970,21000000,20,0,10557100,2814794.8,511.2,0,0
IND,1980,40000000,2001473.6,0,15314602,1740909.2,250020,0,20
IND,1990,117500,71930.2,0,27940384,3234670,132174.6,0,0
IND,2000,35000000,713314.6,0,24740866,593158.9,1205.8,0,5
IND,2010,33820000,64592.8,0,9753587,3623070,930.5,0,45
IND,2020,0,10033333,0,1636941,6869567.5,51954332,0,0
IDN,1950,0,341.1,0,0,0,0,0,0
IDN,1960,20400,4004.3,37506,87810,0,0,0,0
IDN,1970,351722,57404.1,2800,62647,506,0.6,0,0
IDN,1980,300,10707.6,45981.8,149332.7,1092.3,2361.1,0,0
IDN,1990,106500,54431.2,3513,232354.8,0,3700.6,303407.8,0
IDN,2000,1500,777404.6,11806,339680.9,371.5,33232.8,40,0
IDN,2010,0,309342.8,53658.7,299582.6,1258.5,11249.4,40966.4,0
IDN,2020,0,53936332,10992333,655484.3,169875,6103333,0,0
IRN,1950,0,1598.4,0,0,0,0,0,0
IRN,1960,62500,23545,0,7,0,0,0,0
IRN,1970,0,51519.4,0,0,0,10,0,0
IRN,1980,0,6536.3,0,129020,0,0,0,0
IRN,1990,3700000,99917.4,0,93737.7,378.5,4,0,0
IRN,2000,0,75508.4,0,142488.7,20100.9,0.4,0,0
IRN,2010,0,34624.8,0,1047776.7,200,0,0,0
IRN,2020,1633333.4,38141668,0,113466664,9073333,0,0,0
IRQ,1950,0,0,0,0,0,0,0,0
IRQ,1960,50000,0,0,41000,0,0,0,0
IRQ,1970,0,0,0,0,0,0,0,0
IRQ,1980,0,0,0,0,0,0,0,0
IRQ,1990,0,50,0,0,0,0,0,0
IRQ,2000,0,0,0,7151,0,0,0,0
IRQ,2010,0,596.9,0,9786.6,0,0,0,0
IRQ,2020,2333333.2,0,0,40676667,16666666,0,0,0
IRL,1950,0,0,0,0,0,0,0,0
IRL,1960,0,0,0,0,0,0,0,0
IRL,1970,0,0,0,0,0,0,0,0
IRL,1980,0,0,0,0,0,0,0,0
IRL,1990,0,0,0,350,0,0,0,0
IRL,2000,0,0,0,30,20,0,0,0
IRL,2010,0,0,0,90,0,0,0,0
IRL,2020,0,0,0,0,0,0,0,0
IMN,1950,0,0,0,0,0,0,0,0
IMN,1960,0,0,0,0,0,0,0,0
IMN,1970,0,0,0,0,0,0,0,0
IMN,1980,0,0,0,0,0,0,0,0
IMN,1990,0,0,0,0,0,0,0,0
IMN,2000,0,0,0,0,0,0,0,0
IMN,2010,0,0,0,0,0,0,0,0
IMN,2020,0,0,0,0,0,0,0,0
ISR,1950,0,0,0,0,0,0,0,0
ISR,1960,0,0,0,0,0,0,0,0
ISR,1970,0,0,0,0,0,44986,0,0
ISR,1980,0,0,0,0,0,0,0,0
ISR,1990,0,0,0,100,0,0,24,0
ISR,2000,0,0,0,0,41,0,0,0
ISR,2010,0,0,0,0,200320,0,8015.9,0
ISR,2020,0,0,0,0,0,0,7,0
ITA,1950,0,0,0,17750,0,546.6,0,0
ITA,1960,0,8556.3,0,130300,0,0,0,0
ITA,1970,0,26079.2,45018,130265,521.9,0,0,0
ITA,1980,0,44472.1,0,3,0,1018.9,2,0
ITA,1990,0,4172.1,700,1880,110,378.2,30,0
ITA,2000,0,6577.4,0,6283.2,20,45184,0,0
ITA,2010,0,5822.6,32.8,1698.4,341.7,0.1,0,0
ITA,2020,0,0,0,301,35966666,60666668,38666667,0
JAM,1950,0,0,0,0,2020,0,0,0
JAM,1960,10000,0,0,0,0,0,0,0
JAM,1970,0,0,0,25000,251,0,0,0
JAM,1980,0,0,0,6600,84030.9,0,0,0
JAM,1990,0,0,0,55571.2,80,0,0,0
JAM,2000,0,0,0,3000,39941,0,0,0
JAM,2010,9154.5,0,0,0,34835.6,0,0,0
JAM,2020,0,0,0,0,0,0,0,0
JPN,1950,0,55.6,45171,246353.4,318916.6,0,0,0
JPN,1960,0,3815.7,0,430240,4773.9,0,0,0
JPN,1970,0,461.6,1000,4305,34147.7,0,0,0
JPN,1980,0,2393.9,1860,18934.7,34553.1,2508.8,0,0
JPN,1990,0,56288.1,5495,6556,42037,45159,0,0
JPN,2000,0,18783.8,1640,46059.4,97125.4,40,44979,330
JPN,2010,0,82722.7,45175,160903.2,81358.7,45113,0,19691.4
JPN,2020,0,30813333,0,97171336,51696665,300,0,47666665
JOR,1950,0,0,0,0,0,0,0,0
JOR,1960,0,0,0,629.2,0,0,0,0
JOR,1970,0,0,0,0,0,0,0,0
JOR,1980,0,0,0,45171,0,0,0,0
JOR,1990,18000,0,0,1800,0,0,0,0
JOR,2000,15000,0,0,0,45068,0,0,44958
JOR,2010,0,0,0,45022,0,0,0,0
JOR,2020,0,0,0,0,0,0,0,0
KAZ,1950,0,0,0,0,0,0,0,0
KAZ,1960,0,0,0,0,0,0,0,0
KAZ,1970,0,0,0,0,0,0,0,0
KAZ,1980,0,0,0,0,0,0,0,0
KAZ,1990,0,0,0,3000,0,0,800,60000
KAZ,2000,0,3662.6,0,4416.8,0,0,0,44958
KAZ,2010,0,0,0,7737.9,0,0,0,500
KAZ,2020,23666666,0,0,11000,0,0,0,0
KEN,1950,0,0,0,0,0,0,0,0
KEN,1960,26000,0,0,1500,0,0,0,0
KEN,1970,19000,0,0,3600,0,0,0,0
KEN,1980,60000,0,0,300,0,0,0,0
KEN,1990,2850000,0,0,90120,0,0,0,0
KEN,2000,960000,0,0,130809.7,0,45079,0,0
KEN,2010,1565000,0,0,143415.2,0,12,0,0
KEN,2020,1333333.4,0,0,370218.34,0,0,0,0
KIR,1950,0,0,0,0,0,0,0,0
KIR,1960,0,0,0,0,0,0,0,0
KIR,1970,0,0,0,0,70,0,0,0
KIR,1980,0,0,0,0,0,0,0,0
KIR,1990,8400,0,0,0,0,0,0,0
KIR,2000,0,0,0,45054,0,0,0,0
KIR,2010,0,0,0,22,150,0,0,0
KIR,2020,0,0,0,0,0,0,0,0
KWT,1950,0,0,0,0,0,0,0,0
KWT,1960,0,0,0,0,0,0,0,0
KWT,1970,0,0,0,0,0,0,0,0
KWT,1980,0,0,0,0,0,0,0,0
KWT,1990,0,0,0,20,0,0,0,0
KWT,2000,0,0,0,0,0,0,0,0
KWT,2010,0,0,0,0,0,0,0,0
KWT,2020,0,0,0,0,0,0,0,0
KGZ,1950,0,0,0,0,0,0,0,0
KGZ,1960,0,0,0,0,0,0,0,0
KGZ,1970,0,0,0,0,0,0,0,0
KGZ,1980,0,0,0,0,0,0,0,0
KGZ,1990,0,13803.6,0,772.8,0,5850,0,0
KGZ,2000,200000,1624.7,0,289.5,907.5,131.1,0,0
KGZ,2010,0,2178,0,1100,0,840.5,0,5
KGZ,2020,0,0,0,0,0,0,0,46166665
LAO,1950,0,0,0,0,0,0,0,0
LAO,1960,0,0,0,8160,0,0,0,0
LAO,1970,350000,0,0,57400,0,0,0,0
LAO,1980,73000,0,0,200,0,0,0,0
LAO,1990,2000,0,0,153355,130731.2,0,0,0
LAO,2000,0,0,0,125719,12888.7,0,0,0
LAO,2010,0,0,0,163687.1,73514.5,0,0,0
LAO,2020,0,0,0,14184,32254666,0,0,0
LVA,1950,0,0,0,0,0,0,0,0
LVA,1960,0,0,0,0,0,0,0,0
LVA,1970,0,0,0,0,0,0,0,0
LVA,1980,0,0,0,0,0,0,0,0
LVA,1990,0,0,0,0,0,0,0,0
LVA,2000,0,0,0,0,0,0,0,0
LVA,2010,0,0,0,0,0,0,0,0
LVA,2020,0,0,0,0,0,0,0,0
LBN,1950,0,20,0,0,0,0,0,0
LBN,1960,0,0,0,0,0,0,0,0
LBN,1970,0,0,0,0,0,0,0,0
LBN,1980,0,0,0,150,0,0,0,0
LBN,1990,0,0,0,0,10407.5,0,0,0
LBN,2000,0,0,0,1700,50,0,45047,0
LBN,2010,0,0,0,0,101270.1,0,0,0
LBN,2020,0,0,0,0,0,0,0,0
LSO,1950,0,0,0,0,0,0,0,0
LSO,1960,20400,0,0,0,0,0,0,0
LSO,1970,0,0,0,0,0,0,0,0
LSO,1980,50000,0,0,18000,0,0,0,0
LSO,1990,33150,0,0,0,20,0,0,0
LSO,2000,97500,0,0,0,650.1,0,0,0
LSO,2010,186751.5,0,0,500,260,0,0,0
LSO,2020,255333.33,0,0,0,850,0,0,0
LBR,1950,0,0,0,0,0,0,0,0
LBR,1960,0,0,0,0,0,0,0,0
LBR,1970,0,0,0,0,0,0,0,0
LBR,1980,0,0,0,0,0,0,0,0
LBR,1990,0,0,0,500,200,0,0,100000
LBR,2000,0,0,0,1792.4,350,0,0,0
